unit	passage	chapter	type	huey_issue	sources	review_state
HUEY-CL05-R110	CL05-P028	14	normative	185	B,M	retained-source-scoped-review
HUEY-CL05-R111	CL05-P028	14	normative	185	B,M	retained-source-scoped-review
HUEY-CL05-R112	CL05-P029	14	normative	185	M,B	retained-source-scoped-review
HUEY-CL05-R113	CL05-P029	14	normative	185	M,B	retained-source-scoped-review
HUEY-CL05-R114	CL05-P029	14	normative	185	M,B	retained-source-scoped-review
HUEY-CL05-R115	CL05-P029	14	normative	185	M,B	retained-source-scoped-review
HUEY-CL05-R116	CL05-P030	14	personal-icon-reading	50	M	retained-source-scoped-review
HUEY-CL05-R117	CL05-P030	14	personal-icon-reading	50	M	retained-source-scoped-review
HUEY-CL05-R118	CL05-P030	14	personal-icon-reading	50	M	retained-source-scoped-review
HUEY-CL05-R119	CL05-P030	14	personal-icon-reading	50	M	retained-source-scoped-review
HUEY-CL05-R120	CL05-P031	14	argument	185	M,B	retained-source-scoped-review
HUEY-CL05-R121	CL05-P031	14	argument	185	M,B	retained-source-scoped-review
HUEY-CL05-R122	CL05-P031	14	argument	185	M,B	retained-source-scoped-review
HUEY-CL05-R123	CL05-P031	14	argument	185	M,B	retained-source-scoped-review
HUEY-CL05-R124	CL05-P031	14	argument	185	M,B	retained-source-scoped-review
HUEY-CL05-R125	CL05-P032	14	scripture-and-personal-reading	50	W03,M	retained-source-scoped-review
HUEY-CL05-R126	CL05-P032	14	scripture-and-personal-reading	50	W03,M	retained-source-scoped-review
HUEY-CL05-R127	CL05-P032	14	scripture-and-personal-reading	50	W03,M	retained-source-scoped-review
HUEY-CL05-R128	CL05-P032	14	scripture-and-personal-reading	50	W03,M	retained-source-scoped-review
HUEY-CL05-R129	CL05-P032	14	scripture-and-personal-reading	50	W03,M	retained-source-scoped-review
HUEY-CL05-R130	CL05-P033	14	scriptural-interpretation	50	W03,M	retained-source-scoped-review
HUEY-CL05-R131	CL05-P033	14	scriptural-interpretation	50	W03,M	retained-source-scoped-review
HUEY-CL05-R132	CL05-P033	14	scriptural-interpretation	50	W03,M	retained-source-scoped-review
HUEY-CL05-R133	CL05-P033	14	scriptural-interpretation	50	W03,M	retained-source-scoped-review
HUEY-CL05-R134	CL05-P034	14	personal-theological-reading	50	M,W03	retained-source-scoped-review
HUEY-CL05-R135	CL05-P034	14	personal-theological-reading	50	M,W03	retained-source-scoped-review
HUEY-CL05-R136	CL05-P034	14	personal-theological-reading	50	M,W03	retained-source-scoped-review
HUEY-CL05-R137	CL05-P034	14	personal-theological-reading	50	M,W03	retained-source-scoped-review
HUEY-CL05-R138	CL05-P035	14	personal-reflection	185	M	retained-source-scoped-review
HUEY-CL05-R139	CL05-P035	14	personal-reflection	185	M	retained-source-scoped-review
HUEY-CL05-R140	CL05-P035	14	personal-reflection	185	M	retained-source-scoped-review
HUEY-CL05-R141	CL05-P035	14	personal-reflection	185	M	retained-source-scoped-review
HUEY-CL05-R142	CL05-P035	14	personal-reflection	185	M	retained-source-scoped-review
HUEY-CL05-R143	CL05-P035	14	personal-reflection	185	M	retained-source-scoped-review
HUEY-CL05-R144	CL05-P036	14	hypothesis	185	M,L17	retained-source-scoped-review
HUEY-CL05-R145	CL05-P036	14	hypothesis	185	M,L17	retained-source-scoped-review
HUEY-CL05-R146	CL05-P036	14	hypothesis	185	M,L17	retained-source-scoped-review
HUEY-CL05-R147	CL05-P036	14	hypothesis	185	M,L17	retained-source-scoped-review
HUEY-CL05-R148	CL05-P037	14	editorial	185	B,M	retained-source-scoped-review
HUEY-CL05-R149	CL05-P037	14	editorial	185	B,M	retained-source-scoped-review
HUEY-CL05-R150	CL05-P037	14	editorial	185	B,M	retained-source-scoped-review
HUEY-CL05-R151	CL05-P037	14	editorial	185	B,M	retained-source-scoped-review
HUEY-CL05-R152	CL05-P040	14	editorial	185	B	retained-source-scoped-review
HUEY-CL05-R153	CL05-P040	14	editorial	185	B	retained-source-scoped-review
HUEY-CL05-R154	CL05-P040	14	editorial	185	B	retained-source-scoped-review
HUEY-CL05-R155	CL05-P040	14	editorial	185	B	retained-source-scoped-review
HUEY-CL05-R156	CL05-P040	14	editorial	185	B	retained-source-scoped-review
HUEY-CL05-R157	CL05-P041	14	earlier-narrative-recap	185	B	retained-source-scoped-review
HUEY-CL05-R158	CL05-P041	14	earlier-narrative-recap	185	B	retained-source-scoped-review
HUEY-CL05-R159	CL05-P041	14	earlier-narrative-recap	185	B	retained-source-scoped-review
HUEY-CL05-R160	CL05-P041	14	earlier-narrative-recap	185	B	retained-source-scoped-review
HUEY-CL05-R161	CL05-P041	14	earlier-narrative-recap	185	B	retained-source-scoped-review
HUEY-CL05-R162	CL05-P042	14	metaphor	185	M,B	retained-source-scoped-review
HUEY-CL05-R163	CL05-P042	14	metaphor	185	M,B	retained-source-scoped-review
HUEY-CL05-R164	CL05-P042	14	metaphor	185	M,B	retained-source-scoped-review
HUEY-CL05-R165	CL05-P042	14	metaphor	185	M,B	retained-source-scoped-review
HUEY-CL05-R166	CL05-P043	14	normative	185	M,B	retained-source-scoped-review
HUEY-CL05-R167	CL05-P043	14	normative	185	M,B	retained-source-scoped-review
HUEY-CL05-R168	CL05-P043	14	normative	185	M,B	retained-source-scoped-review
HUEY-CL05-R169	CL05-P043	14	normative	185	M,B	retained-source-scoped-review
HUEY-CL05-R170	CL05-P043	14	normative	185	M,B	retained-source-scoped-review
HUEY-CL05-R171	CL05-P044	14	normative	185	M,B	retained-source-scoped-review
HUEY-CL05-R172	CL05-P044	14	normative	185	M,B	retained-source-scoped-review
HUEY-CL05-R173	CL05-P044	14	normative	185	M,B	retained-source-scoped-review
HUEY-CL05-R174	CL05-P044	14	normative	185	M,B	retained-source-scoped-review
HUEY-CL05-R175	CL05-P045	14	normative	185	M	retained-source-scoped-review
HUEY-CL05-R176	CL05-P045	14	normative	185	M	retained-source-scoped-review
HUEY-CL05-R177	CL05-P045	14	normative	185	M	retained-source-scoped-review
HUEY-CL05-R178	CL05-P045	14	normative	185	M	retained-source-scoped-review
HUEY-CL05-R179	CL05-P045	14	normative	185	M	retained-source-scoped-review
HUEY-CL05-R180	CL05-P046	14	personal-icon-reading	50	M	retained-source-scoped-review
HUEY-CL05-R181	CL05-P046	14	personal-icon-reading	50	M	retained-source-scoped-review
HUEY-CL05-R182	CL05-P046	14	personal-icon-reading	50	M	retained-source-scoped-review
HUEY-CL05-R183	CL05-P047	14	editorial	185	B,M	retained-source-scoped-review
HUEY-CL05-R184	CL05-P047	14	editorial	185	B,M	retained-source-scoped-review
HUEY-CL05-R185	CL05-P047	14	editorial	185	B,M	retained-source-scoped-review
HUEY-CL05-R186	CL05-P047	14	editorial	185	B,M	retained-source-scoped-review
HUEY-CL05-R187	CL05-P048	14	editorial	185	B	retained-source-scoped-review
HUEY-CL05-R188	CL05-P048	14	editorial	185	B	retained-source-scoped-review
HUEY-CL05-R189	CL05-P048	14	editorial	185	B	retained-source-scoped-review
