unit	edit	chapter	type	huey_issue	sources	carelaw_ids
HUEY-CL07-U030	CL07-E07	6	source-description	178	L08,L10,E15	C032,C033,C059
HUEY-CL07-U031	CL07-E07	6	question	178	L08,L10,E15	C032,C033,C059
HUEY-CL07-U032	CL07-E07	6	source-description	178	L08,L10,E15	C032,C033,C059
HUEY-CL07-U033	CL07-E07	6	request	179	L08,L10,A	C009,C012,C060,C070
HUEY-CL07-U034	CL07-E07	6	source-description	179	L08,L10,A	C009,C012,C060,C070
HUEY-CL07-U035	CL07-E07	6	argument	179	L08,L10,A	C009,C012,C060,C070
HUEY-CL07-U036	CL07-E07	6	argument	179	L08,L10,A	C009,C012,C060,C070
HUEY-CL07-U037	CL07-E08	6	request	180	L17,E15,A	C036,C037,C146
HUEY-CL07-U038	CL07-E08	6	request	180	L17,E15,A	C036,C037,C146
HUEY-CL07-U039	CL07-E08	6	request	180	L17,E15,A	C036,C037,C146
HUEY-CL07-U040	CL07-E09	7	request	180	N09,L17,A	C198,C199,C200,C201
HUEY-CL07-U041	CL07-E09	7	request	180	N09,L17,A	C198,C199,C200,C201
HUEY-CL07-U042	CL07-E09	7	request	180	N09,L17,A	C198,C199,C200,C201
HUEY-CL07-U043	CL07-E09	7	request	180	N09,L17,A	C198,C199,C200,C201
HUEY-CL07-U044	CL07-E10	7	request	187	L26,L08,L10,L17,A	C152,C153,C154,C155,C156,C157,C158,C159,C160,C161
HUEY-CL07-U045	CL07-E10	7	request	187	L26,L08,L10,L17,A	C152,C153,C154,C155,C156,C157,C158,C159,C160,C161
HUEY-CL07-U046	CL07-E10	7	request	187	L26,L08,L10,L17,A	C152,C153,C154,C155,C156,C157,C158,C159,C160,C161
HUEY-CL07-U047	CL07-E10	7	request	187	L26,L08,L10,L17,A	C152,C153,C154,C155,C156,C157,C158,C159,C160,C161
HUEY-CL07-U048	CL07-E10	7	request	187	L26,L08,L10,L17,A	C152,C153,C154,C155,C156,C157,C158,C159,C160,C161
HUEY-CL07-U049	CL07-E11	7	source-description	180	L26,L17,A	C162,C163,C164,C170,C171,C172,C173
HUEY-CL07-U050	CL07-E11	7	source-description	180	L26,L17,A	C162,C163,C164,C170,C171,C172,C173
HUEY-CL07-U051	CL07-E11	7	argument	180	L26,L17,A	C162,C163,C164,C170,C171,C172,C173
HUEY-CL07-U052	CL07-E11	7	argument	180	L26,L17,A	C162,C163,C164,C170,C171,C172,C173
HUEY-CL07-U053	CL07-E11	7	argument	180	L26,L17,A	C162,C163,C164,C170,C171,C172,C173
HUEY-CL07-U054	CL07-E12	7	law	181	W04	C053,C067,C078
HUEY-CL07-U055	CL07-E12	7	law	181	W04	C053,C067,C078
HUEY-CL07-U056	CL07-E12	7	interpretation	181	W05	C084
HUEY-CL07-U057	CL07-E12	7	law	181	W05	C084
HUEY-CL07-U058	CL07-E12	7	request	181	W04,W05,L17,A	C076,C077,C083,C084
HUEY-CL07-U059	CL07-E12	7	request	181	W04,W05,L17,A	C076,C077,C083,C084
HUEY-CL07-U060	CL07-E13	7	question	180	L17,A	C047,C051,C055,C172,C189,C192
HUEY-CL07-U061	CL07-E13	7	question	180	L17,A	C047,C051,C055,C172,C189,C192
HUEY-CL07-U062	CL07-E13	7	request	180	L17,A	C047,C051,C055,C172,C189,C192
HUEY-CL07-U063	CL07-E13	7	request	180	L17,A	C047,C051,C055,C172,C189,C192
HUEY-CL07-U064	CL07-E14	7	request	179	L17,A	C059,C060,C065,C071,C143
HUEY-CL07-U065	CL07-E14	7	argument	179	L17,A	C059,C060,C065,C071,C143
HUEY-CL07-U066	CL07-E14	7	question	179	L17,A	C059,C060,C065,C071,C143
HUEY-CL07-U067	CL07-E14	7	argument	179	L17,A	C059,C060,C065,C071,C143
HUEY-CL07-U068	CL07-E14	7	argument	179	L17,A	C059,C060,C065,C071,C143
HUEY-CL07-U069	CL07-E15	7	source-description	180	L08,L17	C165
HUEY-CL07-U070	CL07-E15	7	source-description	180	L08,L17	C165
HUEY-CL07-U071	CL07-E15	7	source-description	180	L08,L17	C165
HUEY-CL07-U072	CL07-E15	7	source-description	180	L08,L17	C165
HUEY-CL07-U073	CL07-E16	7	ethics	179	W03	C112
HUEY-CL07-U074	CL07-E16	7	interpretation	179	W03	C112
HUEY-CL07-U075	CL07-E16	7	request	179	L08,L17,N09,A	C113,C114,C203,C204,C205,C206
HUEY-CL07-U076	CL07-E16	7	request	179	L08,L17,N09,A	C113,C114,C203,C204,C205,C206
HUEY-CL07-U077	CL07-E16	7	request	179	L08,L17,N09,A	C113,C114,C203,C204,C205,C206
HUEY-CL07-U078	CL07-E17	7	request	183	L08,L10,L17,A	C027,C029,C081,C104,C108,C109,C141,C142
HUEY-CL07-U079	CL07-E17	7	request	183	L08,L10,L17,A	C027,C029,C081,C104,C108,C109,C141,C142
HUEY-CL07-U080	CL07-E17	7	request	183	L08,L10,L17,A	C027,C029,C081,C104,C108,C109,C141,C142
HUEY-CL07-U081	CL07-E17	7	request	183	L08,L10,L17,A	C027,C029,C081,C104,C108,C109,C141,C142
HUEY-CL07-U082	CL07-E18	7	source-description	183	L17,A	C105,C106,C108,C110
HUEY-CL07-U083	CL07-E18	7	argument	183	L17,A	C105,C106,C108,C110
HUEY-CL07-U084	CL07-E18	7	argument	183	L17,A	C105,C106,C108,C110
HUEY-CL07-U085	CL07-E18	7	argument	183	L17,A	C105,C106,C108,C110
HUEY-CL07-U086	CL07-E19	7	argument	185	L17,A	C055,C077,C133,C141,C142,C146
HUEY-CL07-U087	CL07-E19	7	argument	185	L17,A	C055,C077,C133,C141,C142,C146
HUEY-CL07-U088	CL07-E19	7	argument	185	L17,A	C055,C077,C133,C141,C142,C146
