unit	edit	type	huey_issue	sources	carelaw_ids
HUEY-CL03-U063	CL03-E06	interpretation	178	L10	-
HUEY-CL03-U064	CL03-E06	request	178	A	-
HUEY-CL03-U065	CL03-E06	argument	178	A	-
HUEY-CL03-U066	CL03-E06	argument	178	A	-
HUEY-CL03-U067	CL03-E07	argument	184	B	-
HUEY-CL03-U068	CL03-E07	argument	184	B	-
HUEY-CL03-U069	CL03-E07	argument	179	A,L17	C027,C028
HUEY-CL03-U070	CL03-E07	argument	183	A,L17	C029,C245
HUEY-CL03-U071	CL03-E08	argument	183	A,B	-
HUEY-CL03-U072	CL03-E08	argument	183	A,B	-
HUEY-CL03-U073	CL03-E08	argument	183	A,B	-
HUEY-CL03-U074	CL03-E08	argument	183	A,W07	C243,C245
HUEY-CL03-U075	CL03-E08	ethics	183	W07	C243,C244
HUEY-CL03-U076	CL03-E08	request	183	A,L17	-
HUEY-CL03-U077	CL03-E08	argument	183	A,W07	-
HUEY-CL03-U078	CL03-E08	argument	182	A,L10	-
HUEY-CL03-U079	CL03-E08	question	182	A,L10	C094
HUEY-CL03-U080	CL03-E08	argument	182	A,L10	-
HUEY-CL03-U081	CL03-E09	source-description	183	L17	C104,C105
HUEY-CL03-U082	CL03-E09	argument	183	A,L17	C109
HUEY-CL03-U083	CL03-E09	argument	183	A,L17	-
HUEY-CL03-U084	CL03-E09	argument	183	A	-
HUEY-CL03-U085	CL03-E09	source-description	183	L17	-
HUEY-CL03-U086	CL03-E09	argument	183	A,L17	-
HUEY-CL03-U087	CL03-E09	argument	183	A,L17	-
HUEY-CL03-U088	CL03-E09	request	183	L17	C070,C107
HUEY-CL03-U089	CL03-E10	question	183	A,L17	C070,C108
HUEY-CL03-U090	CL03-E10	request	183	A,L17	-
HUEY-CL03-U091	CL03-E10	request	183	A,L17	-
HUEY-CL03-U092	CL03-E10	argument	183	A,L17	-
HUEY-CL03-U093	CL03-E10	argument	179	A,L17	-
HUEY-CL03-U094	CL03-E10	request	179	L17	-
HUEY-CL03-U095	CL03-E10	request	181	L17	-
HUEY-CL03-U096	CL03-E10	request	179	L17	-
HUEY-CL03-U097	CL03-E10	argument	179	A,L17	-
HUEY-CL03-U098	CL03-E10	law	181	W06	C246
HUEY-CL03-U099	CL03-E10	scope	184	W06	-
HUEY-CL03-U100	CL03-E10	argument	181	A	C247,C248
HUEY-CL03-U101	CL03-E10	argument	181	A	-
HUEY-CL03-U102	CL03-E11	source-description	185	L17	-
HUEY-CL03-U103	CL03-E11	request	185	L17	-
HUEY-CL03-U104	CL03-E11	argument	185	A,L17	-
HUEY-CL03-U105	CL03-E11	hypothesis	185	A,L17	-
HUEY-CL03-U106	CL03-E11	hypothesis	185	A,L10,L17	-
HUEY-CL03-U107	CL03-E11	scope	185	A	-
HUEY-CL03-U108	CL03-E11	request	185	A,L17	C253
HUEY-CL03-U109	CL03-E11	argument	185	A,L17	C254
