reference_unit	note	type	huey_issues	source_aliases
HUEY-CL08-N14-EVIDENCE	N14	review-request	183	D01,D02,D03
HUEY-CL08-N14-COMPETENT_REVIEW	N14	review-request	183	D01,D02,D03
HUEY-CL08-N14-CLOSURE	N14	review-request	183	D01,D02,D03
HUEY-CL08-N14-LIMIT	N14	scope-limit	183	D01,D02,D03
HUEY-CL08-N15-B01	N15	source-description-or-editorial-analysis	183,184	W21,W22,D01,D02
HUEY-CL08-N15-B02	N15	source-description-or-editorial-analysis	183,184	W21,W22,D01,D02
HUEY-CL08-N15-B03	N15	source-description-or-editorial-analysis	183,184	W21,W22,D01,D02
HUEY-CL08-N15-QUESTION	N15	review-request	183,184	W21,W22,D01,D02
HUEY-CL08-N15-EVIDENCE	N15	review-request	183,184	W21,W22,D01,D02
HUEY-CL08-N15-COMPETENT_REVIEW	N15	review-request	183,184	W21,W22,D01,D02
HUEY-CL08-N15-CLOSURE	N15	review-request	183,184	W21,W22,D01,D02
HUEY-CL08-N15-LIMIT	N15	scope-limit	183,184	W21,W22,D01,D02
HUEY-CL08-N16-B01	N16	source-description-or-editorial-analysis	183,184	W23,D02
HUEY-CL08-N16-B02	N16	source-description-or-editorial-analysis	183,184	W23,D02
HUEY-CL08-N16-QUESTION	N16	review-request	183,184	W23,D02
HUEY-CL08-N16-EVIDENCE	N16	review-request	183,184	W23,D02
HUEY-CL08-N16-COMPETENT_REVIEW	N16	review-request	183,184	W23,D02
HUEY-CL08-N16-CLOSURE	N16	review-request	183,184	W23,D02
HUEY-CL08-N16-LIMIT	N16	scope-limit	183,184	W23,D02
HUEY-CL08-N17-B01	N17	source-description-or-editorial-analysis	178,185	D04
HUEY-CL08-N17-B02	N17	source-description-or-editorial-analysis	178,185	D04
HUEY-CL08-N17-QUESTION	N17	review-request	178,185	D04
HUEY-CL08-N17-EVIDENCE	N17	review-request	178,185	D04
HUEY-CL08-N17-COMPETENT_REVIEW	N17	review-request	178,185	D04
HUEY-CL08-N17-CLOSURE	N17	review-request	178,185	D04
HUEY-CL08-N17-LIMIT	N17	scope-limit	178,185	D04
HUEY-CL08-N18-B01	N18	source-description-or-editorial-analysis	183,185	D04,D05,A
HUEY-CL08-N18-B02	N18	source-description-or-editorial-analysis	183,185	D04,D05,A
HUEY-CL08-N18-B03	N18	source-description-or-editorial-analysis	183,185	D04,D05,A
HUEY-CL08-N18-QUESTION	N18	review-request	183,185	D04,D05,A
HUEY-CL08-N18-EVIDENCE	N18	review-request	183,185	D04,D05,A
HUEY-CL08-N18-COMPETENT_REVIEW	N18	review-request	183,185	D04,D05,A
HUEY-CL08-N18-CLOSURE	N18	review-request	183,185	D04,D05,A
HUEY-CL08-N18-LIMIT	N18	scope-limit	183,185	D04,D05,A
HUEY-CL08-N19-B01	N19	source-description-or-editorial-analysis	185	D02,D05,A
HUEY-CL08-N19-B02	N19	source-description-or-editorial-analysis	185	D02,D05,A
HUEY-CL08-N19-QUESTION	N19	review-request	185	D02,D05,A
HUEY-CL08-N19-EVIDENCE	N19	review-request	185	D02,D05,A
HUEY-CL08-N19-COMPETENT_REVIEW	N19	review-request	185	D02,D05,A
HUEY-CL08-N19-CLOSURE	N19	review-request	185	D02,D05,A
HUEY-CL08-N19-LIMIT	N19	scope-limit	185	D02,D05,A
