paragraph	chapter	disposition	edit	huey_issue	source_scope	review_state
CL06-P043	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P044	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P045	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P046	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P047	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P048	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P049	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P050	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P051	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P052	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P053	4	retained-exact	-	178	B	retained-prior-personal-source-link-open
CL06-P054	4	retained-exact	-	178	B	retained-prior-personal-source-link-open
CL06-P055	4	retained-exact	-	178	B,L10,L08,L17	retained-source-scoped
CL06-P056	4	retained-exact	-	178	B,L10,L08,L17	retained-source-scoped
CL06-P057	4	retained-exact	-	178	B,L10,L08,L17	retained-source-scoped
CL06-P058	4	retained-exact	-	178	B,L10,L08,L17	retained-source-scoped
CL06-P059	4	retained-exact	-	178	B,L10,L08,L17	retained-source-scoped
CL06-P060	4	retained-exact	-	178	B,L10,L08,L17	retained-source-scoped
CL06-P061	4	retained-exact	-	178	B,L10,L08,L17	retained-source-scoped
CL06-P062	4	retained-exact	-	178	B,L10,L08,L17	retained-source-scoped
CL06-P063	4	retained-exact	-	178	B,L10,L08,L17	retained-source-scoped
CL06-P064	4	retained-exact	-	178	B,L10,L08,L17	retained-source-scoped
CL06-P065	4	retained-exact	CL06-E05	178	B,L10,L08,L17	retained-source-scoped
CL06-P066	4	retained-exact	-	178	B,L10,L08,L17	retained-source-scoped
CL06-P067	4	retained-exact	-	178	B,L10,L08,L17	retained-source-scoped
CL06-P068	4	retained-exact	-	178	B,L10,L08,L17	retained-source-scoped
CL06-P069	4	retained-exact	-	178	B,L10,L08,L17	retained-source-scoped
CL06-P070	4	replaced-with-lineage	CL06-E06	178	B,L10,L08,L17	retained-source-scoped
CL06-P071	4	retained-exact	-	178	B,L10,L08,L17	retained-source-scoped
CL06-P072	4	retained-exact	-	178	B,L10,L08,L17	retained-source-scoped
CL06-P073	4	retained-exact	-	178	B,L10,L08,L17	retained-source-scoped
CL06-P074	4	retained-exact	-	178	B,L10,L08,L17	retained-source-scoped
CL06-P075	4	retained-exact	-	178	B,L10,L08,L17	retained-source-scoped
CL06-P076	4	retained-exact	CL06-E07	178	B,L10,L08,L17	retained-source-scoped
CL06-P077	4	retained-exact	-	178	B,L10,L08,L17	retained-source-scoped
CL06-P078	4	retained-exact	-	178	B,L10,L08,L17	retained-source-scoped
CL06-P079	4	retained-exact	-	178	B,L10,L08,L17	retained-source-scoped
CL06-P080	4	replaced-with-lineage	CL06-E08	178	B,L10,L08,L17	retained-source-scoped
CL06-P081	4	retained-exact	-	178	B,L10,L08,L17	retained-source-scoped
CL06-P082	4	retained-exact	-	178	B,L10,L08,L17	retained-source-scoped
CL06-P083	4	retained-exact	-	178	B,L10,L08,L17	retained-source-scoped
CL06-P084	4	retained-exact	-	178	B,L10,L08,L17	retained-source-scoped
CL06-P085	4	retained-exact	-	178	B,L10,L08,L17	retained-source-scoped
CL06-P086	4	retained-exact	-	178	B,L10,L08,L17	retained-source-scoped
CL06-P087	4	retained-exact	-	178	B,L10,L08,L17	retained-source-scoped
CL06-P088	4	retained-exact	-	178	B,L10,L08,L17	retained-source-scoped
CL06-P089	4	retained-exact	-	178	B,L10,L08,L17	retained-source-scoped
CL06-P090	4	retained-exact	-	178	B,L10,L08,L17	retained-source-scoped
CL06-P091	4	retained-exact	CL06-E09	178	B,L10,L08,L17	retained-source-scoped
CL06-P092	4	retained-exact	-	178	B,L10,L08,L17	retained-source-scoped
CL06-P093	4	retained-exact	-	178	B,L10,L08,L17	retained-source-scoped
CL06-P094	4	retained-exact	-	178	B,L10,L08,L17	retained-source-scoped
CL06-P095	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P096	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P097	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P098	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P099	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P100	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P101	5	retained-exact	CL06-E10	181	B,L10,L17	retained-source-scoped
CL06-P102	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P103	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P104	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P105	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P106	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P107	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P108	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P109	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P110	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P111	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P112	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P113	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P114	5	retained-exact	CL06-E11	181	B,L10,L17	retained-source-scoped
CL06-P115	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P116	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P117	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P118	5	retained-exact	CL06-E12	181	B,L10,L17	retained-source-scoped
CL06-P119	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P120	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P121	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P122	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P123	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P124	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P125	5	retained-exact	CL06-E13	181	B,L10,L17	retained-source-scoped
CL06-P126	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P127	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P128	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P129	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P130	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P131	5	retained-exact	CL06-E14	181	B,L10,L17	retained-source-scoped
CL06-P132	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P133	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P134	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P135	5	retained-exact	CL06-E15	181	B,L10,L17	retained-source-scoped
CL06-P136	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P137	5	retained-exact	CL06-E16	181	B,L10,L17	retained-source-scoped
CL06-P138	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P139	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
CL06-P140	5	retained-exact	-	181	B,L10,L17	retained-source-scoped
