unit	note	type	huey_issue	sources	calculation_ids
HUEY-CL09-M01-QUESTION	M01	review-question	25	-	-
HUEY-CL09-M01-EVIDENCE	M01	review-evidence	25	-	-
HUEY-CL09-M01-ALTERNATIVE	M01	review-alternative	25	-	-
HUEY-CL09-M01-REVIEWER	M01	review-reviewer	25	-	-
HUEY-CL09-M01-CLOSURE	M01	review-closure	25	-	-
HUEY-CL09-M02-QUESTION	M02	review-question	25	-	-
HUEY-CL09-M02-EVIDENCE	M02	review-evidence	25	-	-
HUEY-CL09-M02-ALTERNATIVE	M02	review-alternative	25	-	-
HUEY-CL09-M02-REVIEWER	M02	review-reviewer	25	-	-
HUEY-CL09-M02-CLOSURE	M02	review-closure	25	-	-
HUEY-CL09-M03-QUESTION	M03	review-question	25	-	-
HUEY-CL09-M03-EVIDENCE	M03	review-evidence	25	-	-
HUEY-CL09-M03-ALTERNATIVE	M03	review-alternative	25	-	-
HUEY-CL09-M03-REVIEWER	M03	review-reviewer	25	-	-
HUEY-CL09-M03-CLOSURE	M03	review-closure	25	-	-
HUEY-CL09-M04-QUESTION	M04	review-question	25	-	-
HUEY-CL09-M04-EVIDENCE	M04	review-evidence	25	-	-
HUEY-CL09-M04-ALTERNATIVE	M04	review-alternative	25	-	-
HUEY-CL09-M04-REVIEWER	M04	review-reviewer	25	-	-
HUEY-CL09-M04-CLOSURE	M04	review-closure	25	-	-
HUEY-CL09-M05-QUESTION	M05	review-question	25	-	-
HUEY-CL09-M05-EVIDENCE	M05	review-evidence	25	-	-
HUEY-CL09-M05-ALTERNATIVE	M05	review-alternative	25	-	-
HUEY-CL09-M05-REVIEWER	M05	review-reviewer	25	-	-
HUEY-CL09-M05-CLOSURE	M05	review-closure	25	-	-
HUEY-CL09-M06-QUESTION	M06	review-question	25	-	-
HUEY-CL09-M06-EVIDENCE	M06	review-evidence	25	-	-
HUEY-CL09-M06-ALTERNATIVE	M06	review-alternative	25	-	-
HUEY-CL09-M06-REVIEWER	M06	review-reviewer	25	-	-
HUEY-CL09-M06-CLOSURE	M06	review-closure	25	-	-
HUEY-CL09-M07-QUESTION	M07	review-question	129	-	-
HUEY-CL09-M07-EVIDENCE	M07	review-evidence	129	-	-
HUEY-CL09-M07-ALTERNATIVE	M07	review-alternative	129	-	-
HUEY-CL09-M07-REVIEWER	M07	review-reviewer	129	-	-
HUEY-CL09-M07-CLOSURE	M07	review-closure	129	-	-
HUEY-CL09-M08-QUESTION	M08	review-question	129	-	-
HUEY-CL09-M08-EVIDENCE	M08	review-evidence	129	-	-
HUEY-CL09-M08-ALTERNATIVE	M08	review-alternative	129	-	-
HUEY-CL09-M08-REVIEWER	M08	review-reviewer	129	-	-
HUEY-CL09-M08-CLOSURE	M08	review-closure	129	-	-
