unit	edit	chapter	type	huey_issue	sources	carelaw_ids
HUEY-CL04-U034	CL04-E05	12	question	185	A,L17	C054,C055
HUEY-CL04-U035	CL04-E05	12	question	185	A,L17	C120
HUEY-CL04-U036	CL04-E05	12	argument	185	A	C254
HUEY-CL04-U037	CL04-E05	12	argument	185	A,L17	C021
HUEY-CL04-U038	CL04-E06	12	argument	183	A	-
HUEY-CL04-U039	CL04-E06	12	ethics	183	W01	-
HUEY-CL04-U040	CL04-E06	12	ethics	183	W01	-
HUEY-CL04-U041	CL04-E06	12	interpretation	183	W01	C101
HUEY-CL04-U042	CL04-E06	12	argument	183	A,W01	C031
HUEY-CL04-U043	CL04-E06	12	request	183	A,L17	C070
HUEY-CL04-U044	CL04-E07	12	law	184	W02	-
HUEY-CL04-U045	CL04-E07	12	interpretation	184	W02	-
HUEY-CL04-U046	CL04-E07	12	scope	184	A,W02	-
HUEY-CL04-U047	CL04-E07	12	argument	184	A,L17	C023
HUEY-CL04-U048	CL04-E07	12	argument	184	A	C101
HUEY-CL04-U049	CL04-E08	12	law	184	W03	-
HUEY-CL04-U050	CL04-E08	12	law	184	W03	-
HUEY-CL04-U051	CL04-E08	12	interpretation	184	W03	C120
HUEY-CL04-U052	CL04-E08	12	argument	184	A	C119
HUEY-CL04-U053	CL04-E08	12	argument	184	A	C120
HUEY-CL04-U054	CL04-E08	12	argument	184	A,L04	-
HUEY-CL04-U055	CL04-E09	13	design	183	A,B,L17	C105,C142
HUEY-CL04-U056	CL04-E09	13	design	183	A,B	C109
HUEY-CL04-U057	CL04-E09	13	design	183	A,B	C142
HUEY-CL04-U058	CL04-E09	13	argument	183	A,B	C072
HUEY-CL04-U059	CL04-E09	13	argument	183	A,B	-
HUEY-CL04-U060	CL04-E10	13	design	178	A,B,L17	C074
HUEY-CL04-U061	CL04-E10	13	design	178	A,B,L17	C057,C060
HUEY-CL04-U062	CL04-E10	13	design	178	A,B,L17	C071,C075
HUEY-CL04-U063	CL04-E10	13	argument	178	A,B	C075
HUEY-CL04-U064	CL04-E10	13	question	178	A,L17	C056,C059
HUEY-CL04-U065	CL04-E10	13	question	178	A,L17	C060
HUEY-CL04-U066	CL04-E10	13	argument	178	A,B	C006
HUEY-CL04-U067	CL04-E11	13	design	179	A,B,L17	C052,C109
HUEY-CL04-U068	CL04-E11	13	design	179	A,B,L17	C054
HUEY-CL04-U069	CL04-E11	13	ethics	179	W04	-
HUEY-CL04-U070	CL04-E11	13	ethics	179	W04	-
HUEY-CL04-U071	CL04-E11	13	scope	179	W04	-
HUEY-CL04-U072	CL04-E11	13	question	179	A,L17	C061
HUEY-CL04-U073	CL04-E11	13	question	179	A,L17	C052
HUEY-CL04-U074	CL04-E11	13	question	179	A,L17	C113
HUEY-CL04-U075	CL04-E11	13	question	179	A,L17	C054
HUEY-CL04-U076	CL04-E11	13	argument	179	A,B	C055
HUEY-CL04-U077	CL04-E11	13	request	179	A,B,L17	C250
HUEY-CL04-U078	CL04-E12	13	design	181	A,B	C084
HUEY-CL04-U079	CL04-E12	13	scope	181	A,B	C084
HUEY-CL04-U080	CL04-E12	13	request	181	A,B,L17	C086
HUEY-CL04-U081	CL04-E12	13	argument	181	A,B	C082
HUEY-CL04-U082	CL04-E12	13	argument	181	A,B	C084
HUEY-CL04-U083	CL04-E13	13	argument	184	A,B	C029,C101
HUEY-CL04-U084	CL04-E13	13	argument	184	A,B	-
HUEY-CL04-U085	CL04-E13	13	design	184	A,B,L17	C104
HUEY-CL04-U086	CL04-E13	13	argument	184	A,B,L17	C245
HUEY-CL04-U087	CL04-E13	13	argument	184	A,B	C099
HUEY-CL04-U088	CL04-E13	13	law	184	W05	-
HUEY-CL04-U089	CL04-E13	13	law	184	W05	-
HUEY-CL04-U090	CL04-E13	13	interpretation	184	W05	C100,C101
HUEY-CL04-U091	CL04-E13	13	question	184	A,W05,L17	C070
HUEY-CL04-U092	CL04-E13	13	request	184	A,L17	C100,C103
HUEY-CL04-U093	CL04-E13	13	argument	184	A,L17	C028
HUEY-CL04-U094	CL04-E13	13	argument	184	A,B,L17	C031,C111
HUEY-CL04-U095	CL04-E14	13	law	181	W06	-
HUEY-CL04-U096	CL04-E14	13	law	181	W06	-
HUEY-CL04-U097	CL04-E14	13	law	181	W06	-
HUEY-CL04-U098	CL04-E14	13	scope	181	W06	-
HUEY-CL04-U099	CL04-E14	13	question	181	A,L17,W06	C087
HUEY-CL04-U100	CL04-E14	13	argument	181	A,B	C108
HUEY-CL04-U101	CL04-E15	13	design	181	A,B,L17	C076,C077
HUEY-CL04-U102	CL04-E15	13	design	181	A,B,L17	C116
HUEY-CL04-U103	CL04-E15	13	question	181	A,L17	C118
HUEY-CL04-U104	CL04-E15	13	argument	181	A,B	C120
HUEY-CL04-U105	CL04-E15	13	argument	181	A,B	C075
HUEY-CL04-U106	CL04-E15	13	request	181	A,B,L17	C083
HUEY-CL04-U107	CL04-E16	13	design	183	A,B,L17	C072,C142
HUEY-CL04-U108	CL04-E16	13	design	183	A,B,L17	C108
HUEY-CL04-U109	CL04-E16	13	argument	183	A,B,L17	C109,C110
HUEY-CL04-U110	CL04-E16	13	argument	183	A,B	C073
HUEY-CL04-U111	CL04-E16	13	argument	183	A,B,L17	C140
HUEY-CL04-U112	CL04-E16	13	design	183	A,B,L17	C140
HUEY-CL04-U113	CL04-E16	13	design	183	A,B	C137
HUEY-CL04-U114	CL04-E16	13	argument	183	A,L17,T	C126,C128
HUEY-CL04-U115	CL04-E16	13	argument	183	A,B	-
HUEY-CL04-U116	CL04-E16	13	argument	183	A,B	-
HUEY-CL04-U117	CL04-E16	13	design	183	A,B,L17	C133
