id	pointer	kind	review	verification_issue	support	disposition
Q03-F039	/quotations/1/verified_at	historical-verification-label	Q03-R02	https://github.com/grwtsk/huey/issues/192	source-preservation	not-recertified
Q03-F040	/quotations/1/principles/0	conceptual-correspondence	Q03-R02	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F041	/quotations/1/principles/1	conceptual-correspondence	Q03-R02	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F042	/quotations/1/ethics_nodes/0	conceptual-correspondence	Q03-R02	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F043	/quotations/1/ethics_nodes/1	conceptual-correspondence	Q03-R02	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F044	/quotations/1/ethics_nodes/2	conceptual-correspondence	Q03-R02	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F045	/quotations/1/context_note	compound-context-statement	Q03-R02	https://github.com/grwtsk/huey/issues/192	substantial	see-entry-review
Q03-F046	/quotations/1/use_note	editorial-use-limit	Q03-R02	https://github.com/grwtsk/huey/issues/192	reasoning	preserved-not-legal-clearance
Q03-F047	/quotations/1/evidentiary_use	editorial-use-limit	Q03-R02	https://github.com/grwtsk/huey/issues/192	reasoning	preserved-not-legal-clearance
Q03-F048	/quotations/2/id	source-metadata	Q03-R03	https://github.com/grwtsk/huey/issues/192	source-preservation	preserved-source-field
Q03-F049	/quotations/2/type	source-metadata	Q03-R03	https://github.com/grwtsk/huey/issues/192	source-preservation	preserved-source-field
Q03-F050	/quotations/2/text	quotation	Q03-R03	https://github.com/grwtsk/huey/issues/192	primary-text	matched-excerpt
Q03-F051	/quotations/2/authority_type	attribution-or-scope	Q03-R03	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F052	/quotations/2/tradition_or_domain	attribution-or-scope	Q03-R03	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F053	/quotations/2/author_or_body	attribution-or-scope	Q03-R03	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F054	/quotations/2/work	attribution-or-scope	Q03-R03	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F055	/quotations/2/locator	attribution-or-scope	Q03-R03	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F056	/quotations/2/translation_or_version	attribution-or-scope	Q03-R03	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F057	/quotations/2/jurisdiction	attribution-or-scope	Q03-R03	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F058	/quotations/2/authority_level	attribution-or-scope	Q03-R03	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F059	/quotations/2/source_url	source-metadata	Q03-R03	https://github.com/grwtsk/huey/issues/192	source-preservation	preserved-source-field
Q03-F060	/quotations/2/verified_at	historical-verification-label	Q03-R03	https://github.com/grwtsk/huey/issues/192	source-preservation	not-recertified
Q03-F061	/quotations/2/principles/0	conceptual-correspondence	Q03-R03	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F062	/quotations/2/principles/1	conceptual-correspondence	Q03-R03	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F063	/quotations/2/principles/2	conceptual-correspondence	Q03-R03	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F064	/quotations/2/ethics_nodes/0	conceptual-correspondence	Q03-R03	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F065	/quotations/2/ethics_nodes/1	conceptual-correspondence	Q03-R03	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F066	/quotations/2/ethics_nodes/2	conceptual-correspondence	Q03-R03	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F067	/quotations/2/context_note	compound-context-statement	Q03-R03	https://github.com/grwtsk/huey/issues/192	substantial	see-entry-review
Q03-F068	/quotations/2/use_note	editorial-use-limit	Q03-R03	https://github.com/grwtsk/huey/issues/192	reasoning	preserved-not-legal-clearance
Q03-F069	/quotations/2/evidentiary_use	editorial-use-limit	Q03-R03	https://github.com/grwtsk/huey/issues/192	reasoning	preserved-not-legal-clearance
Q03-F070	/quotations/3/id	source-metadata	Q03-R04	https://github.com/grwtsk/huey/issues/192	source-preservation	preserved-source-field
Q03-F071	/quotations/3/type	source-metadata	Q03-R04	https://github.com/grwtsk/huey/issues/192	source-preservation	preserved-source-field
Q03-F072	/quotations/3/text	quotation	Q03-R04	https://github.com/grwtsk/huey/issues/192	primary-text	matched-sentence
Q03-F073	/quotations/3/authority_type	attribution-or-scope	Q03-R04	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F074	/quotations/3/tradition_or_domain	attribution-or-scope	Q03-R04	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F075	/quotations/3/author_or_body	attribution-or-scope	Q03-R04	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F076	/quotations/3/work	attribution-or-scope	Q03-R04	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F077	/quotations/3/locator	attribution-or-scope	Q03-R04	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F078	/quotations/3/translation_or_version	attribution-or-scope	Q03-R04	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F079	/quotations/3/jurisdiction	attribution-or-scope	Q03-R04	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F080	/quotations/3/authority_level	attribution-or-scope	Q03-R04	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F081	/quotations/3/source_url	source-metadata	Q03-R04	https://github.com/grwtsk/huey/issues/192	source-preservation	preserved-source-field
Q03-F082	/quotations/3/verified_at	historical-verification-label	Q03-R04	https://github.com/grwtsk/huey/issues/192	source-preservation	not-recertified
Q03-F083	/quotations/3/principles/0	conceptual-correspondence	Q03-R04	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F084	/quotations/3/principles/1	conceptual-correspondence	Q03-R04	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F085	/quotations/3/principles/2	conceptual-correspondence	Q03-R04	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F086	/quotations/3/ethics_nodes/0	conceptual-correspondence	Q03-R04	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F087	/quotations/3/ethics_nodes/1	conceptual-correspondence	Q03-R04	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F088	/quotations/3/ethics_nodes/2	conceptual-correspondence	Q03-R04	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F089	/quotations/3/context_note	compound-context-statement	Q03-R04	https://github.com/grwtsk/huey/issues/192	substantial	see-entry-review
Q03-F090	/quotations/3/use_note	editorial-use-limit	Q03-R04	https://github.com/grwtsk/huey/issues/192	reasoning	preserved-not-legal-clearance
Q03-F091	/quotations/3/evidentiary_use	editorial-use-limit	Q03-R04	https://github.com/grwtsk/huey/issues/192	reasoning	preserved-not-legal-clearance
Q03-F092	/quotations/3/crisis/geography	service-description	Q03-R04	https://github.com/grwtsk/huey/issues/192	substantial	details-require-review
Q03-F093	/quotations/3/crisis/hours	service-description	Q03-R04	https://github.com/grwtsk/huey/issues/192	substantial	details-require-review
Q03-F094	/quotations/3/crisis/access_modes/0	service-description	Q03-R04	https://github.com/grwtsk/huey/issues/192	substantial	details-require-review
Q03-F095	/quotations/3/crisis/access_modes/1	service-description	Q03-R04	https://github.com/grwtsk/huey/issues/192	substantial	details-require-review
Q03-F096	/quotations/3/crisis/access_modes/2	service-description	Q03-R04	https://github.com/grwtsk/huey/issues/192	substantial	details-require-review
Q03-F097	/quotations/3/crisis/access_modes/3	service-description	Q03-R04	https://github.com/grwtsk/huey/issues/192	substantial	details-require-review
Q03-F098	/quotations/3/crisis/cost	service-description	Q03-R04	https://github.com/grwtsk/huey/issues/192	substantial	details-require-review
Q03-F099	/quotations/3/crisis/confidentiality	service-description	Q03-R04	https://github.com/grwtsk/huey/issues/192	substantial	details-require-review
Q03-F100	/quotations/3/crisis/accessibility_url	service-description	Q03-R04	https://github.com/grwtsk/huey/issues/192	substantial	details-require-review
Q03-F101	/quotations/4/id	source-metadata	Q03-R05	https://github.com/grwtsk/huey/issues/192	source-preservation	preserved-source-field
Q03-F102	/quotations/4/type	source-metadata	Q03-R05	https://github.com/grwtsk/huey/issues/192	source-preservation	preserved-source-field
Q03-F103	/quotations/4/text	quotation	Q03-R05	https://github.com/grwtsk/huey/issues/192	primary-text	matched-verse
Q03-F104	/quotations/4/authority_type	attribution-or-scope	Q03-R05	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F105	/quotations/4/tradition_or_domain	attribution-or-scope	Q03-R05	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F106	/quotations/4/author_or_body	attribution-or-scope	Q03-R05	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F107	/quotations/4/work	attribution-or-scope	Q03-R05	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F108	/quotations/4/locator	attribution-or-scope	Q03-R05	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F109	/quotations/4/translation_or_version	attribution-or-scope	Q03-R05	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F110	/quotations/4/jurisdiction	attribution-or-scope	Q03-R05	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F111	/quotations/4/authority_level	attribution-or-scope	Q03-R05	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F112	/quotations/4/source_url	source-metadata	Q03-R05	https://github.com/grwtsk/huey/issues/192	source-preservation	preserved-source-field
Q03-F113	/quotations/4/verified_at	historical-verification-label	Q03-R05	https://github.com/grwtsk/huey/issues/192	source-preservation	not-recertified
Q03-F114	/quotations/4/principles/0	conceptual-correspondence	Q03-R05	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F115	/quotations/4/principles/1	conceptual-correspondence	Q03-R05	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F116	/quotations/4/ethics_nodes/0	conceptual-correspondence	Q03-R05	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F117	/quotations/4/ethics_nodes/1	conceptual-correspondence	Q03-R05	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F118	/quotations/4/context_note	compound-context-statement	Q03-R05	https://github.com/grwtsk/huey/issues/192	substantial	see-entry-review
Q03-F119	/quotations/4/use_note	editorial-use-limit	Q03-R05	https://github.com/grwtsk/huey/issues/192	reasoning	preserved-not-legal-clearance
Q03-F120	/quotations/4/evidentiary_use	editorial-use-limit	Q03-R05	https://github.com/grwtsk/huey/issues/192	reasoning	preserved-not-legal-clearance
Q03-F121	/quotations/5/id	source-metadata	Q03-R06	https://github.com/grwtsk/huey/issues/192	source-preservation	preserved-source-field
Q03-F122	/quotations/5/type	source-metadata	Q03-R06	https://github.com/grwtsk/huey/issues/192	source-preservation	preserved-source-field
Q03-F123	/quotations/5/text	quotation	Q03-R06	https://github.com/grwtsk/huey/issues/192	primary-text	not-verified
Q03-F124	/quotations/5/authority_type	attribution-or-scope	Q03-R06	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F125	/quotations/5/tradition_or_domain	attribution-or-scope	Q03-R06	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F126	/quotations/5/author_or_body	attribution-or-scope	Q03-R06	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F127	/quotations/5/work	attribution-or-scope	Q03-R06	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F128	/quotations/5/locator	attribution-or-scope	Q03-R06	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F129	/quotations/5/translation_or_version	attribution-or-scope	Q03-R06	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F130	/quotations/5/jurisdiction	attribution-or-scope	Q03-R06	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F131	/quotations/5/authority_level	attribution-or-scope	Q03-R06	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F132	/quotations/5/source_url	source-metadata	Q03-R06	https://github.com/grwtsk/huey/issues/192	source-preservation	preserved-source-field
Q03-F133	/quotations/5/verified_at	historical-verification-label	Q03-R06	https://github.com/grwtsk/huey/issues/192	source-preservation	not-recertified
Q03-F134	/quotations/5/principles/0	conceptual-correspondence	Q03-R06	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F135	/quotations/5/principles/1	conceptual-correspondence	Q03-R06	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F136	/quotations/5/principles/2	conceptual-correspondence	Q03-R06	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F137	/quotations/5/ethics_nodes/0	conceptual-correspondence	Q03-R06	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F138	/quotations/5/ethics_nodes/1	conceptual-correspondence	Q03-R06	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F139	/quotations/5/context_note	compound-context-statement	Q03-R06	https://github.com/grwtsk/huey/issues/192	substantial	see-entry-review
Q03-F140	/quotations/5/use_note	editorial-use-limit	Q03-R06	https://github.com/grwtsk/huey/issues/192	reasoning	preserved-not-legal-clearance
Q03-F141	/quotations/5/evidentiary_use	editorial-use-limit	Q03-R06	https://github.com/grwtsk/huey/issues/192	reasoning	preserved-not-legal-clearance
Q03-F142	/quotations/6/id	source-metadata	Q03-R07	https://github.com/grwtsk/huey/issues/192	source-preservation	preserved-source-field
Q03-F143	/quotations/6/type	source-metadata	Q03-R07	https://github.com/grwtsk/huey/issues/192	source-preservation	preserved-source-field
Q03-F144	/quotations/6/text	quotation	Q03-R07	https://github.com/grwtsk/huey/issues/192	primary-text	matched-excerpt
Q03-F145	/quotations/6/authority_type	attribution-or-scope	Q03-R07	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F146	/quotations/6/tradition_or_domain	attribution-or-scope	Q03-R07	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F147	/quotations/6/author_or_body	attribution-or-scope	Q03-R07	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F148	/quotations/6/work	attribution-or-scope	Q03-R07	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F149	/quotations/6/locator	attribution-or-scope	Q03-R07	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F150	/quotations/6/translation_or_version	attribution-or-scope	Q03-R07	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F151	/quotations/6/jurisdiction	attribution-or-scope	Q03-R07	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F152	/quotations/6/authority_level	attribution-or-scope	Q03-R07	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F153	/quotations/6/source_url	source-metadata	Q03-R07	https://github.com/grwtsk/huey/issues/192	source-preservation	preserved-source-field
Q03-F154	/quotations/6/verified_at	historical-verification-label	Q03-R07	https://github.com/grwtsk/huey/issues/192	source-preservation	not-recertified
Q03-F155	/quotations/6/principles/0	conceptual-correspondence	Q03-R07	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F156	/quotations/6/principles/1	conceptual-correspondence	Q03-R07	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F157	/quotations/6/principles/2	conceptual-correspondence	Q03-R07	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F158	/quotations/6/ethics_nodes/0	conceptual-correspondence	Q03-R07	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F159	/quotations/6/ethics_nodes/1	conceptual-correspondence	Q03-R07	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F160	/quotations/6/context_note	compound-context-statement	Q03-R07	https://github.com/grwtsk/huey/issues/192	substantial	see-entry-review
Q03-F161	/quotations/6/use_note	editorial-use-limit	Q03-R07	https://github.com/grwtsk/huey/issues/192	reasoning	preserved-not-legal-clearance
Q03-F162	/quotations/6/evidentiary_use	editorial-use-limit	Q03-R07	https://github.com/grwtsk/huey/issues/192	reasoning	preserved-not-legal-clearance
Q03-F163	/quotations/7/id	source-metadata	Q03-R08	https://github.com/grwtsk/huey/issues/192	source-preservation	preserved-source-field
Q03-F164	/quotations/7/type	source-metadata	Q03-R08	https://github.com/grwtsk/huey/issues/192	source-preservation	preserved-source-field
Q03-F165	/quotations/7/text	quotation	Q03-R08	https://github.com/grwtsk/huey/issues/192	primary-text	matched-excerpt
Q03-F166	/quotations/7/authority_type	attribution-or-scope	Q03-R08	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F167	/quotations/7/tradition_or_domain	attribution-or-scope	Q03-R08	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F168	/quotations/7/author_or_body	attribution-or-scope	Q03-R08	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F169	/quotations/7/work	attribution-or-scope	Q03-R08	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F170	/quotations/7/locator	attribution-or-scope	Q03-R08	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F171	/quotations/7/translation_or_version	attribution-or-scope	Q03-R08	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F172	/quotations/7/jurisdiction	attribution-or-scope	Q03-R08	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F173	/quotations/7/authority_level	attribution-or-scope	Q03-R08	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F174	/quotations/7/source_url	source-metadata	Q03-R08	https://github.com/grwtsk/huey/issues/192	source-preservation	preserved-source-field
Q03-F175	/quotations/7/verified_at	historical-verification-label	Q03-R08	https://github.com/grwtsk/huey/issues/192	source-preservation	not-recertified
Q03-F176	/quotations/7/principles/0	conceptual-correspondence	Q03-R08	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F177	/quotations/7/principles/1	conceptual-correspondence	Q03-R08	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F178	/quotations/7/principles/2	conceptual-correspondence	Q03-R08	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F179	/quotations/7/ethics_nodes/0	conceptual-correspondence	Q03-R08	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F180	/quotations/7/ethics_nodes/1	conceptual-correspondence	Q03-R08	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F181	/quotations/7/context_note	compound-context-statement	Q03-R08	https://github.com/grwtsk/huey/issues/192	substantial	see-entry-review
Q03-F182	/quotations/7/use_note	editorial-use-limit	Q03-R08	https://github.com/grwtsk/huey/issues/192	reasoning	preserved-not-legal-clearance
Q03-F183	/quotations/7/evidentiary_use	editorial-use-limit	Q03-R08	https://github.com/grwtsk/huey/issues/192	reasoning	preserved-not-legal-clearance
Q03-F184	/quotations/8/id	source-metadata	Q03-R09	https://github.com/grwtsk/huey/issues/192	source-preservation	preserved-source-field
Q03-F185	/quotations/8/type	source-metadata	Q03-R09	https://github.com/grwtsk/huey/issues/192	source-preservation	preserved-source-field
Q03-F186	/quotations/8/text	quotation	Q03-R09	https://github.com/grwtsk/huey/issues/192	primary-text	matched-sentence
Q03-F187	/quotations/8/authority_type	attribution-or-scope	Q03-R09	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F188	/quotations/8/tradition_or_domain	attribution-or-scope	Q03-R09	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F189	/quotations/8/author_or_body	attribution-or-scope	Q03-R09	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F190	/quotations/8/work	attribution-or-scope	Q03-R09	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F191	/quotations/8/locator	attribution-or-scope	Q03-R09	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F192	/quotations/8/translation_or_version	attribution-or-scope	Q03-R09	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F193	/quotations/8/jurisdiction	attribution-or-scope	Q03-R09	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F194	/quotations/8/authority_level	attribution-or-scope	Q03-R09	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F195	/quotations/8/source_url	source-metadata	Q03-R09	https://github.com/grwtsk/huey/issues/192	source-preservation	preserved-source-field
Q03-F196	/quotations/8/verified_at	historical-verification-label	Q03-R09	https://github.com/grwtsk/huey/issues/192	source-preservation	not-recertified
Q03-F197	/quotations/8/principles/0	conceptual-correspondence	Q03-R09	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F198	/quotations/8/principles/1	conceptual-correspondence	Q03-R09	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F199	/quotations/8/principles/2	conceptual-correspondence	Q03-R09	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F200	/quotations/8/ethics_nodes/0	conceptual-correspondence	Q03-R09	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F201	/quotations/8/ethics_nodes/1	conceptual-correspondence	Q03-R09	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F202	/quotations/8/ethics_nodes/2	conceptual-correspondence	Q03-R09	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F203	/quotations/8/context_note	compound-context-statement	Q03-R09	https://github.com/grwtsk/huey/issues/192	substantial	see-entry-review
Q03-F204	/quotations/8/use_note	editorial-use-limit	Q03-R09	https://github.com/grwtsk/huey/issues/192	reasoning	preserved-not-legal-clearance
